,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,4.89,4.89,4.89,4.89,4.89,41.06,41.06
Reserves,0.27,0.29,0.2,0.21,2.02,33.66,39.3,38.97,36.81,32.69,4.05,8.3
Borrowings,1.21,0.34,0.61,0.16,0.0,3.97,26.93,26.69,17.64,22.97,21.29,22.81
Other Liabilities,0.13,0.27,0.13,0.4,6.38,5.77,17.71,21.82,24.79,36.9,26.44,20.4
Total Liabilities,1.62,0.91,0.95,0.78,8.41,48.29,88.83,92.37,84.13,97.45,92.84,92.57
Fixed Assets,0.04,0.03,0.01,0.0,0.31,12.74,33.67,30.88,12.32,16.82,15.31,13.8
CWIP,0.0,0.0,0.0,0.0,4.54,5.27,0.06,0.08,0.0,1.99,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.02
Other Assets,1.58,0.88,0.94,0.78,3.56,30.28,55.1,61.41,71.78,78.62,77.51,78.75
Total Assets,1.62,0.91,0.95,0.78,8.41,48.29,88.83,92.37,84.13,97.45,92.84,92.57
