,2017-06-01,2017-09-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.71,6.77,8.27,10.05,10.92,22.1,12.37,11.42,12.0,14.19,10.01,7.01
Expenses,3.92,6.01,6.37,8.09,9.41,19.65,8.98,6.94,5.55,12.86,7.18,5.42
Operating Profit,1.79,0.76,1.9,1.96,1.51,2.45,3.39,4.48,6.45,1.33,2.83,1.59
OPM %,31.35,11.23,22.97,19.5,13.83,11.09,27.41,39.23,53.75,9.37,28.27,22.68
Other Income,0.0,0.07,0.02,0.24,0.05,0.13,0.04,0.74,0.08,0.49,0.13,0.41
Interest,0.02,0.11,0.59,0.93,0.29,0.95,0.73,0.62,0.59,0.94,0.55,0.67
Depreciation,0.05,0.02,0.47,0.84,0.73,0.77,0.83,0.94,0.95,0.87,0.88,0.89
Profit before tax,1.72,0.7,0.86,0.43,0.54,0.86,1.87,3.66,4.99,0.01,1.53,0.44
Tax %,27.33,30.0,44.19,-58.14,50.0,-4.65,59.89,16.67,26.25,-1200.0,34.64,-638.64
Net Profit,1.25,0.48,0.48,0.69,0.27,0.91,0.76,3.06,3.68,0.14,1.01,3.25
EPS in Rs,1.49,0.17,0.12,0.17,0.07,0.22,0.18,0.74,0.9,0.03,0.25,0.79
