,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.95,41.51,50.75,59.39,76.94,95.47,92.47,91.08,70.58,96.57,75.61,78.12,72.87
Expenses,32.37,33.96,40.65,47.05,60.46,72.14,77.13,78.66,65.16,80.72,67.39,74.3,66.21
Operating Profit,7.58,7.55,10.1,12.34,16.48,23.33,15.34,12.42,5.42,15.85,8.22,3.82,6.66
OPM %,18.97,18.19,19.9,20.78,21.42,24.44,16.59,13.64,7.68,16.41,10.87,4.89,9.14
Other Income,0.89,1.41,1.21,2.59,2.89,2.99,4.47,5.16,5.89,3.79,5.77,6.93,5.80
Interest,0.12,0.12,0.1,0.15,0.24,0.2,0.2,0.17,0.19,0.04,0.14,0.34,0.13
Depreciation,1.27,1.27,1.24,2.57,1.73,1.56,1.56,1.9,2.01,1.98,1.99,2.18,2.17
Profit before tax,7.08,7.57,9.97,12.21,17.4,24.56,18.05,15.51,9.11,17.62,11.86,8.23,10.16
Tax %,20.34,20.34,21.06,21.62,28.79,33.67,31.02,34.11,21.84,23.04,23.69,21.63,
Net Profit,5.65,6.03,7.87,9.57,12.4,16.3,12.45,10.22,7.13,13.55,9.05,6.45,7.81
EPS in Rs,15.81,16.88,22.03,26.79,34.71,45.63,34.85,28.61,19.96,37.93,25.33,18.05,21.86
