,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,50,70,91,127,165,224,276,332,420,499,598,708,770
Borrowings,228,209,184,163,158,125,202,378,543,623,550,511,392
Other Liabilities,50,55,65,85,96,103,116,129,134,148,184,213,228
Total Liabilities,339,345,351,386,430,464,605,850,1108,1281,1343,1443,1401
Fixed Assets,288,279,277,281,337,354,443,469,643,1033,1085,1088,1073
CWIP,0,5,5,17,10,6,13,227,300,45,5,23,39
Investments,4,4,4,4,4,4,0,0,0,0,0,0,0
Other Assets,46,57,65,85,78,100,149,153,165,203,253,331,288
Total Assets,339,345,351,386,430,464,605,850,1108,1281,1343,1443,1401
