,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,2,5,5,11,11,11,11,11,11,11
Reserves,0,0,1,3,6,15,20,25,30,34,40,44
Borrowings,13,18,15,13,36,34,50,60,36,4,28,52
Other Liabilities,1,2,8,23,5,2,5,8,3,1,1,5
Total Liabilities,14,20,27,44,52,62,85,103,79,50,80,111
Fixed Assets,0,0,2,2,2,2,2,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,14,20,25,42,50,60,83,103,79,49,79,111
Total Assets,14,20,27,44,52,62,85,103,79,50,80,111
