,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.0,43.0,56.0,42.0,56.0,69.0,81.0,81
Expenses,44.0,48.0,55.0,45.0,50.0,63.0,77.0,81
Operating Profit,-5.0,-4.0,1.0,-3.0,6.0,6.0,4.0,-0
OPM %,-12.0,-10.0,2.0,-8.0,11.0,9.0,5.0,-0
Other Income,1.0,1.0,2.0,1.0,14.0,1.0,2.0,2
Interest,7.0,9.0,8.0,8.0,7.0,8.0,10.0,11
Depreciation,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9
Profit before tax,-20.0,-20.0,-14.0,-19.0,4.0,-10.0,-13.0,-18
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-20.0,-20.0,-14.0,-19.0,4.0,-10.0,-13.0,-18
EPS in Rs,-8.21,-8.44,-5.7,-7.97,1.64,-4.17,-5.32,-7.35
