,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5.0
Reserves,-2,-1,-6,-8,-4,-14,-23,-31.0
Preference Capital,0,16,23,35,40,45,53,
Borrowings,132,106,96,73,62,69,59,111.0
Other Liabilities,15,33,46,54,65,64,78,30.0
Total Liabilities,149,143,141,124,128,124,119,116.0
Fixed Assets,105,97,90,89,80,73,65,60.0
CWIP,0,2,3,3,3,3,3,3.0
Investments,0,0,1,1,1,0,1,1.0
Other Assets,43,44,47,31,45,48,51,52.0
Total Assets,149,143,141,124,128,124,119,116.0
