,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,-42,218,556,376,386,605,456,580,584
Cash from Investing Activity,,,441,-25,-316,-260,-35,37,-402,-125,101
Cash from Financing Activity,,,-404,-174,-300,-92,-359,-468,-239,-426,-712
Net Cash Flow,,,-5,19,-61,24,-7,174,-185,29,-27
