,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,85.75,85.75,75.92,74.46,73.8,73.66,73.47
FIIs,3.24,2.98,5.26,5.92,6.69,4.95,5.06
DIIs,7.27,6.8,6.72,6.7,8.83,9.41,14.57
Public,3.74,4.47,12.1,12.92,10.68,11.97,6.92
No. of Shareholders,82448.0,82047.0,163556.0,167543.0,169218.0,188722.0,171968.0
