,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.33,2.12,1.77,1.88,2.12,2.18,2.36,1.91,2.41,2.29
Expenses,1.25,1.59,1.77,1.75,2.29,2.2,2.36,1.85,2.09,2.21
Operating Profit,0.08,0.53,0.0,0.13,-0.17,-0.02,0.0,0.06,0.32,0.08
OPM %,6.02,25.0,0.0,6.91,-8.02,-0.92,0.0,3.14,13.28,3.49
Other Income,0.34,0.36,0.46,0.4,0.41,0.35,0.44,0.38,0.34,0.49
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.04,0.04,0.07,0.04,0.04,0.02,0.0,0.01,0.02,0.0
Profit before tax,0.38,0.85,0.39,0.49,0.2,0.31,0.44,0.43,0.64,0.57
Tax %,23.68,23.53,33.33,24.49,20.0,22.58,25.0,25.58,23.44,28.07
Net Profit,0.29,0.65,0.26,0.37,0.16,0.24,0.32,0.32,0.49,0.42
EPS in Rs,0.69,1.55,0.62,0.88,0.38,0.57,0.76,0.76,1.17,1.0
