,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,59.1,106.76,95.28,108.0,106.76,147.25,133.72,101.32,92.56,80.82,81.8,77.42
Expenses,52.91,95.91,87.76,100.36,95.91,135.37,122.78,90.1,82.47,72.98,74.24,70.22
Operating Profit,6.19,10.85,7.52,7.64,10.85,11.88,10.94,11.22,10.09,7.84,7.56,7.2
OPM %,10.47,10.16,7.89,7.07,10.16,8.07,8.18,11.07,10.9,9.7,9.24,9.3
Other Income,0.01,0.15,2.87,0.2,0.15,0.4,1.52,0.11,0.76,0.62,0.24,0.46
Interest,0.69,1.02,0.87,1.02,1.02,1.09,0.65,0.24,0.25,0.2,0.11,0.1
Depreciation,0.52,0.41,0.39,0.36,0.41,0.46,0.31,0.32,0.47,0.44,0.43,0.44
Profit before tax,4.99,9.57,9.13,6.46,9.57,10.73,11.5,10.77,10.13,7.82,7.26,7.12
Tax %,25.25,25.91,24.1,24.15,25.91,24.7,25.39,27.21,25.57,26.09,26.17,22.61
Net Profit,3.73,7.09,6.93,4.91,7.09,8.08,8.58,7.85,7.55,5.78,5.35,5.51
EPS in Rs,2.72,5.18,5.06,3.59,5.18,5.9,6.27,5.73,5.52,4.22,3.91,4.02
