,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,52,177,243,253,351,470
Cash from Investing Activity,-279,-163,-96,-88,56,-232
Cash from Financing Activity,224,-13,-141,-166,-410,-232
Net Cash Flow,-3,1,7,-2,-3,6
