,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,758.0,801.0,916.0,565.0,1041.0,1355.0,1313
Expenses,526.0,527.0,522.0,322.0,545.0,684.0,680
Operating Profit,232.0,274.0,394.0,243.0,496.0,671.0,633
OPM %,31.0,34.0,43.0,43.0,48.0,50.0,48
Other Income,11.0,19.0,32.0,60.0,50.0,40.0,54
Interest,6.0,4.0,26.0,26.0,28.0,31.0,36
Depreciation,10.0,9.0,89.0,96.0,94.0,104.0,115
Profit before tax,226.0,280.0,312.0,182.0,423.0,576.0,536
Tax %,35.0,35.0,24.0,27.0,26.0,25.0,
Net Profit,148.0,182.0,237.0,133.0,315.0,429.0,400
EPS in Rs,11.82,14.55,18.9,10.72,12.98,17.67,16.47
