,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,302.0,192.0,160.0,200.0,385.0,296.0,325.0,247.0,441.0,342.0,312.0,218.0
Expenses,148.0,106.0,91.0,109.0,193.0,152.0,162.0,131.0,217.0,174.0,163.0,125.0
Operating Profit,154.0,85.0,69.0,91.0,191.0,144.0,163.0,115.0,224.0,168.0,148.0,93.0
OPM %,51.0,45.0,43.0,46.0,50.0,49.0,50.0,47.0,51.0,49.0,48.0,43.0
Other Income,14.0,9.0,19.0,9.0,11.0,11.0,7.0,10.0,10.0,13.0,15.0,15.0
Interest,6.0,6.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,11.0
Depreciation,24.0,23.0,21.0,22.0,24.0,27.0,26.0,25.0,25.0,27.0,30.0,32.0
Profit before tax,138.0,66.0,61.0,71.0,171.0,120.0,136.0,93.0,202.0,145.0,124.0,65.0
Tax %,25.0,27.0,26.0,25.0,25.0,26.0,26.0,25.0,26.0,25.0,26.0,25.0
Net Profit,103.0,48.0,45.0,53.0,128.0,89.0,101.0,69.0,150.0,109.0,92.0,49.0
EPS in Rs,8.31,3.84,3.65,2.2,5.27,3.65,4.16,2.84,6.19,4.48,3.79,2.01
