,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,195.0,221.0,248.0,222.0,286.0,355.0,369
Expenses,161.0,168.0,182.0,160.0,209.0,250.0,293
Operating Profit,35.0,53.0,66.0,62.0,77.0,105.0,76
OPM %,18.0,24.0,27.0,28.0,27.0,30.0,21
Other Income,2.0,2.0,4.0,2.0,1.0,3.0,6
Interest,24.0,16.0,17.0,16.0,22.0,19.0,1
Depreciation,3.0,2.0,2.0,3.0,4.0,4.0,5
Profit before tax,9.0,36.0,50.0,45.0,52.0,84.0,76
Tax %,40.0,31.0,27.0,28.0,27.0,26.0,
Net Profit,5.0,25.0,36.0,32.0,38.0,63.0,57
EPS in Rs,51.32,225.39,328.8,316.39,3.77,5.88,5.43
