,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,10,11,11.0
Reserves,55,104,118,126,130,219,222.0
Preference Capital,0,0,0,0,0,0,
Borrowings,20,18,21,14,29,29,27.0
Other Liabilities,276,18,17,21,22,20,21.0
Total Liabilities,352,141,158,162,191,279,280.0
Fixed Assets,8,5,8,11,14,13,15.0
CWIP,0,0,0,0,0,2,7.0
Investments,0,33,28,0,0,0,0.0
Other Assets,344,103,121,151,176,264,258.0
Total Assets,352,141,158,162,191,279,280.0
