,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,70.0,88,79,115,100,72
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,70.0,88,79,115,100,72
Working Capital Days,-427.0,76,69,92,87,62
ROCE %,,53,50,44,48,48
