,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.32,19.64,20.86,21.14,21.68
Expenses,18.14,18.13,17.91,18.48,19.60
Operating Profit,1.18,1.51,2.95,2.66,2.08
OPM %,6.11,7.69,14.14,12.58,9.59
Other Income,0.47,0.62,0.46,0.58,0.64
Interest,0.63,0.49,0.43,0.59,0.66
Depreciation,0.17,0.17,0.33,0.43,0.47
Profit before tax,0.85,1.47,2.65,2.22,1.59
Tax %,35.29,29.93,22.64,15.32,
Net Profit,0.55,1.03,2.06,1.87,1.36
EPS in Rs,610.0,1050.0,5.12,3.5,2.60
