,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,47.0,62,76.0,81,77,90,117,107,87,64,47
Inventory Days,5875.0,5315,3239.0,586,687,514,541,688,1142,1044,605
Days Payable,806.0,433,124.0,151,153,324,416,704,1234,836,366
Cash Conversion Cycle,5116.0,4944,3190.0,516,611,280,241,91,-4,272,285
Working Capital Days,-617.0,-735,-573.0,-571,-604,-428,-445,-311,-606,-645,-528
ROCE %,,37,,38,35,28,33,30,28,25,38
