,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,8,12
Reserves,4,5,6,4,20
Borrowings,3,3,3,3,0
Other Liabilities,12,12,14,18,20
Total Liabilities,19,20,24,34,52
Fixed Assets,0,0,0,0,0
CWIP,0,0,0,0,2
Investments,0,0,0,0,11
Other Assets,19,20,24,34,39
Total Assets,19,20,24,34,52
