,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.98,4.98,5.27,10.53,14.43,14.43,14.43
Reserves,8.55,10.81,13.64,10.05,16.52,18.48,19.21
Borrowings,11.58,19.92,21.32,22.45,18.99,16.43,13.5
Other Liabilities,7.33,5.79,14.57,19.27,22.63,17.67,24.29
Total Liabilities,32.44,41.5,54.8,62.3,72.57,67.01,71.43
Fixed Assets,2.36,2.44,2.28,2.24,3.03,3.7,3.77
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.02,0.04,0.08,0.08,0.1,0.1,0.1
Other Assets,30.06,39.02,52.44,59.98,69.44,63.21,67.56
Total Assets,32.44,41.5,54.8,62.3,72.57,67.01,71.43
