,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,58.6,52.92,56.12,65.97,64.76,82.36,82.56
Expenses,52.96,47.44,50.64,61.22,61.39,77.18,77.89
Operating Profit,5.64,5.48,5.48,4.75,3.37,5.18,4.67
OPM %,9.62,10.36,9.76,7.2,5.2,6.29,5.66
Other Income,0.1,0.25,0.28,0.13,0.23,0.31,0.30
Interest,1.78,2.23,2.52,2.19,2.03,2.05,2.04
Depreciation,0.36,0.35,0.34,0.35,0.38,0.53,0.56
Profit before tax,3.6,3.15,2.9,2.34,1.19,2.91,2.37
Tax %,29.72,28.25,27.24,28.63,33.61,28.52,
Net Profit,2.54,2.26,2.12,1.68,0.79,2.07,1.72
EPS in Rs,5.1,4.54,4.03,1.6,0.55,1.43,1.20
