,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,14,14,14,14,14,14,14,14,14,15
Reserves,106,156,162,163,168,208,218,225,235,270,296,295
Borrowings,183,188,197,181,110,77,101,61,40,16,9,25
Other Liabilities,132,133,142,144,127,133,126,120,148,155,165,163
Total Liabilities,431,487,514,502,419,432,459,421,437,455,484,498
Fixed Assets,251,234,228,234,201,196,239,233,207,207,250,284
CWIP,1,2,18,5,0,1,1,1,0,1,3,2
Investments,0,20,20,20,24,6,7,7,8,9,10,10
Other Assets,179,232,247,243,193,228,213,180,222,239,222,202
Total Assets,431,487,514,502,419,432,459,421,437,455,484,498
