,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,68.18,68.18,68.18,68.18,68.18,68.18,68.17,68.17
Public,31.82,31.82,31.82,31.82,31.82,31.82,31.82,31.83
No. of Shareholders,1604.0,1610.0,1629.0,1630.0,1630.0,1699.0,2101.0,2179.0
