,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,368.0,650.0,572.0,432.0,433.0,674.0,635
Expenses,367.0,652.0,582.0,415.0,358.0,631.0,582
Operating Profit,1.0,-2.0,-10.0,17.0,74.0,43.0,53
OPM %,0.0,-0.0,-2.0,4.0,17.0,6.0,8
Other Income,408.0,203.0,63.0,73.0,87.0,142.0,154
Interest,94.0,113.0,128.0,129.0,122.0,106.0,113
Depreciation,2.0,5.0,6.0,7.0,7.0,8.0,8
Profit before tax,312.0,83.0,-82.0,-45.0,33.0,72.0,86
Tax %,-10.0,41.0,-6.0,-51.0,45.0,5.0,
Net Profit,343.0,49.0,-86.0,-68.0,18.0,68.0,75
EPS in Rs,23.15,3.39,-5.8,-4.6,0.58,3.88,4.39
