,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,148,148,148,148,170,170,170.0
Reserves,790,832,756,690,963,1030,1076.0
Preference Capital,0,0,0,0,0,0,
Borrowings,807,846,739,727,545,644,654.0
Other Liabilities,1540,1528,1759,1719,1950,1791,2132.0
Total Liabilities,3285,3353,3403,3284,3628,3634,4032.0
Fixed Assets,30,60,81,76,82,81,82.0
CWIP,0,8,0,0,0,0,0.0
Investments,346,296,99,36,39,121,140.0
Other Assets,2909,2989,3223,3172,3507,3432,3811.0
Total Assets,3285,3353,3403,3284,3628,3634,4032.0
