,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.01,37.67,63.19,65.34,74.29,82.74,53.52,47.2,59.89,82.21,81.90
Expenses,24.08,29.98,48.82,52.12,56.6,64.12,45.97,43.21,53.84,69.81,68.90
Operating Profit,5.93,7.69,14.37,13.22,17.69,18.62,7.55,3.99,6.05,12.4,13.00
OPM %,19.76,20.41,22.74,20.23,23.81,22.5,14.11,8.45,10.1,15.08,15.87
Other Income,0.0,0.0,-2.65,0.56,0.31,0.46,0.09,0.49,-0.08,-0.16,0.14
Interest,4.08,5.82,5.99,6.04,5.38,4.44,4.27,4.44,3.45,4.09,3.84
Depreciation,2.44,3.49,4.9,5.6,6.02,7.0,6.81,6.23,7.08,7.89,8.03
Profit before tax,-0.59,-1.62,0.83,2.14,6.6,7.64,-3.44,-6.19,-4.56,0.26,1.27
Tax %,0.0,35.19,18.07,40.65,17.27,28.01,16.28,23.91,15.79,103.85,
Net Profit,-0.59,-1.05,0.69,1.27,5.45,5.5,-2.87,-4.7,-3.84,-0.01,0.58
EPS in Rs,-0.31,-0.55,0.36,0.66,2.25,2.27,-1.19,-1.84,-1.45,-0.0,0.21
