,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19.19,19.19,19.19,19.19,24.2,24.2,24.2,25.55,26.54,27.53,27.53
Reserves,27.07,26.01,19.02,27.89,61.93,64.83,61.98,78.17,73.07,72.14,72.45
Borrowings,31.69,35.18,44.63,41.06,30.74,28.31,28.16,21.57,24.48,28.03,28.61
Other Liabilities,9.93,12.05,21.69,18.57,24.54,32.56,33.09,26.58,30.69,44.41,45.77
Total Liabilities,87.88,92.43,104.53,106.71,141.41,149.9,147.43,151.87,154.78,172.11,174.36
Fixed Assets,53.2,58.58,61.12,73.3,75.97,92.47,92.34,87.03,89.05,84.64,90.54
CWIP,3.02,0.0,6.33,0.09,0.11,2.28,4.01,4.05,0.91,8.24,0.2
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,31.66,33.85,37.08,33.32,65.33,55.15,51.08,60.79,64.82,79.23,83.62
Total Assets,87.88,92.43,104.53,106.71,141.41,149.9,147.43,151.87,154.78,172.11,174.36
