,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,13,13,13,13.0
Reserves,330,410,398,431,206,301,303,251,-101,-154,73,212,248.0
Preference Capital,19,19,19,112,0,0,27,30,34,38,2,2,
Borrowings,399,397,899,1068,1140,1164,1163,1040,1104,485,287,70,16.0
Other Liabilities,593,810,1179,1300,1220,1228,1281,1571,1729,1691,416,393,352.0
Total Liabilities,1335,1629,2488,2811,2579,2706,2759,2874,2744,2036,789,688,629.0
Fixed Assets,383,367,878,1140,997,1036,1139,1134,1027,598,158,143,110.0
CWIP,9,13,29,51,72,74,94,87,29,4,1,2,3.0
Investments,69,119,10,26,92,73,80,81,123,60,117,145,179.0
Other Assets,874,1129,1571,1594,1418,1524,1445,1573,1565,1374,513,398,337.0
Total Assets,1335,1629,2488,2811,2579,2706,2759,2874,2744,2036,789,688,629.0
