,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.47,21.67,28.41,31.89,34.85,34.07,38.31
Expenses,14.62,19.69,25.13,27.86,30.62,29.5,33.08
Operating Profit,1.85,1.98,3.28,4.03,4.23,4.57,5.23
OPM %,11.23,9.14,11.55,12.64,12.14,13.41,13.65
Other Income,0.00,0.0,0.02,0.0,0.29,0.6,0.17
Interest,0.46,0.01,0.5,0.95,1.29,1.92,1.66
Depreciation,0.06,0.1,0.13,0.1,0.08,0.05,0.04
Profit before tax,1.33,1.87,2.67,2.98,3.15,3.2,3.70
Tax %,27.82,34.22,26.59,26.17,26.98,26.25,
Net Profit,0.95,1.23,1.97,2.2,2.31,2.35,2.72
EPS in Rs,,1.95,2.37,2.14,2.25,2.29,2.65
