,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,9.80,6.65,8.63,1.08,1.04,2.84,1.14,0.48,0.42,0.43,0.35,1.37,0.91
Operating Profit,-9.80,-6.65,-8.63,-1.08,-1.04,-2.84,-1.14,-0.48,-0.42,-0.43,-0.35,-1.37,-0.91
OPM %,,,,,,,,,,,,,
Other Income,9.09,2.04,4.26,0.72,0.62,0.51,-0.02,0.00,0.00,0.00,0.00,0.00,0.0
Interest,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.98,0.00,0.00,0.0
Depreciation,0.07,0.06,0.11,0.11,0.09,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.04
Profit before tax,-0.79,-4.67,-4.48,-0.47,-0.51,-2.40,-1.21,-0.52,-0.46,-4.44,-0.38,-1.40,-0.9500000000000001
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Net Profit,-0.79,-4.67,-4.48,-0.46,-0.51,-2.40,-1.21,-0.52,-0.46,-4.44,-0.38,-1.40,-0.9500000000000001
EPS in Rs,,,,,,,,,,,,,
