,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,692.0,675.0,755.0,1153.0,1052.0,927
Expenses,511.0,494.0,550.0,948.0,888.0,797
Operating Profit,181.0,181.0,205.0,205.0,164.0,130
OPM %,26.0,27.0,27.0,18.0,16.0,14
Other Income,8.0,6.0,6.0,7.0,13.0,22
Interest,4.0,3.0,5.0,6.0,11.0,14
Depreciation,14.0,16.0,21.0,30.0,29.0,33
Profit before tax,171.0,168.0,185.0,176.0,137.0,105
Tax %,29.0,25.0,29.0,27.0,25.0,
Net Profit,121.0,126.0,131.0,128.0,103.0,80
EPS in Rs,103.65,51.0,42.19,41.72,32.45,25.20
