,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,76,161,115,-31,238
Cash from Investing Activity,-86,-184,-159,-124,-143
Cash from Financing Activity,1,27,49,167,-112
Net Cash Flow,-9,5,5,12,-17
