,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.08,28.77,32.83,41.02,29.54,32.79,29.45,35.34,43.32,55.04,61.75,81.86,83.86
Expenses,20.47,27.7,31.85,39.63,30.05,32.58,29.0,33.85,41.8,53.03,59.17,77.18,78.97
Operating Profit,0.61,1.07,0.98,1.39,-0.51,0.21,0.45,1.49,1.52,2.01,2.58,4.68,4.89
OPM %,2.89,3.72,2.99,3.39,-1.73,0.64,1.53,4.22,3.51,3.65,4.18,5.72,5.83
Other Income,0.21,-0.2,0.0,0.06,0.0,0.15,0.58,0.05,-0.05,0.57,0.06,0.03,0.17
Interest,0.07,0.08,0.24,0.39,0.77,0.91,0.74,1.05,1.06,0.64,0.32,0.83,1.00
Depreciation,0.37,0.38,0.39,0.46,0.38,0.38,0.38,0.37,0.36,0.36,0.38,0.42,0.44
Profit before tax,0.38,0.41,0.35,0.6,-1.66,-0.93,-0.09,0.12,0.05,1.58,1.94,3.46,3.62
Tax %,89.47,87.8,34.29,31.67,30.12,33.33,33.33,33.33,20.0,80.38,24.74,26.88,
Net Profit,0.04,0.04,0.23,0.41,-1.15,-0.62,-0.07,0.07,0.04,0.31,1.46,2.54,2.66
EPS in Rs,0.04,0.04,0.23,0.41,-1.15,-0.62,-0.07,0.07,0.04,0.31,1.46,2.53,2.63
