,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,38.28,38.89,33.02,35.07,27.24,26.47,32.88,39.19,36.19,25.53,41.9,47.55,50.26
Expenses,35.41,36.38,31.24,33.51,28.02,27.73,32.18,37.78,34.96,24.47,37.65,42.38,46.15
Operating Profit,2.87,2.51,1.78,1.56,-0.78,-1.26,0.7,1.41,1.23,1.06,4.25,5.17,4.11
OPM %,7.5,6.45,5.39,4.45,-2.86,-4.76,2.13,3.6,3.4,4.15,10.14,10.87,8.18
Other Income,0.46,0.62,0.49,0.5,0.46,0.54,0.53,0.56,0.59,0.56,0.64,0.71,0.95
Interest,0.15,0.14,0.14,0.17,0.12,0.1,0.09,0.1,0.06,0.07,0.12,0.08,0.07
Depreciation,1.3,1.31,1.38,1.18,1.0,0.89,0.88,0.91,0.92,0.61,0.75,1.14,1.14
Profit before tax,1.88,1.68,0.75,0.71,-1.44,-1.71,0.26,0.96,0.84,0.94,4.02,4.66,3.85
Tax %,31.91,34.52,29.33,29.58,2.08,0.58,23.08,-50.0,41.67,38.3,27.11,30.9,
Net Profit,1.28,1.11,0.53,0.49,-1.42,-1.7,0.2,1.43,0.49,0.57,2.93,3.22,2.62
EPS in Rs,16.93,14.68,7.01,6.48,-18.78,-22.49,2.65,18.92,6.48,7.54,38.76,42.59,34.65
