,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,40.26,52.57,62.68,39.62,75.36,42.66,53.77,44.29,44.61,54.25
Expenses,35.61,48.56,57.42,49.14,58.54,54.92,56.93,39.49,40.93,48.85
Operating Profit,4.65,4.01,5.26,-9.52,16.82,-12.26,-3.16,4.8,3.68,5.4
OPM %,11.55,7.63,8.39,-24.03,22.32,-28.74,-5.88,10.84,8.25,9.95
Other Income,0.1,0.38,0.31,0.12,0.29,0.32,0.32,0.51,0.3,0.31
Interest,2.81,2.33,1.97,2.46,2.64,3.4,2.32,2.92,3.02,2.58
Depreciation,0.2,0.14,0.15,0.14,0.16,0.24,0.26,0.18,0.15,0.22
Profit before tax,1.74,1.92,3.45,-12.0,14.31,-15.58,-5.42,2.21,0.81,2.91
Tax %,31.03,23.44,6.96,13.08,4.4,5.52,17.16,23.53,-45.68,27.49
Net Profit,1.2,1.47,3.22,-10.42,13.68,-14.72,-4.49,1.69,1.17,2.11
EPS in Rs,1.71,1.47,3.22,-10.42,13.68,-14.72,-4.49,1.69,0.58,1.05
