,2021-03-01,2022-03-01,2023-03-01
Debtor Days,129.0,109,94
Inventory Days,236.0,233,197
Days Payable,76.0,78,62
Cash Conversion Cycle,290.0,265,230
Working Capital Days,-8.0,65,155
ROCE %,,53,48
