,2021-03-01,2022-03-01,2023-03-01
Sales,1049.0,1359.0,1797.0
Expenses,773.0,1026.0,1376.0
Operating Profit,277.0,334.0,421.0
OPM %,26.0,25.0,23.0
Other Income,10.0,16.0,17.0
Interest,2.0,3.0,2.0
Depreciation,49.0,48.0,50.0
Profit before tax,236.0,299.0,385.0
Tax %,30.0,27.0,26.0
Net Profit,166.0,220.0,285.0
EPS in Rs,151200.0,204000.0,13.65
