,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.3,3.15,1.15,2.98,4.13,12.63,19.42
Expenses,2.64,2.46,2.11,2.04,2.7,5.23,14.60
Operating Profit,-0.34,0.69,-0.96,0.94,1.43,7.4,4.82
OPM %,-14.78,21.9,-83.48,31.54,34.62,58.59,24.82
Other Income,0.24,0.01,0.31,0.26,0.61,1.69,4.05
Interest,0.23,0.24,0.33,0.3,0.3,0.24,0.21
Depreciation,0.16,0.16,0.16,0.15,0.17,0.25,0.46
Profit before tax,-0.49,0.3,-1.14,0.75,1.57,8.6,8.20
Tax %,-10.2,20.0,-0.88,2.67,2.55,24.07,
Net Profit,-0.73,0.25,-1.6,0.62,3.57,18.02,6.75
EPS in Rs,-1.16,0.4,-2.54,0.69,3.05,15.34,5.87
