,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.65,0.65,0.65,0.9,1.14,10.24,11.52
Reserves,4.21,4.69,3.09,5.38,12.43,20.98,52.75
Borrowings,2.03,2.7,3.64,2.5,1.97,0.01,0.01
Other Liabilities,0.71,1.42,1.0,1.33,4.25,9.71,43.44
Total Liabilities,7.6,9.46,8.38,10.11,19.79,40.94,107.72
Fixed Assets,3.51,3.41,3.28,3.18,9.37,10.12,19.44
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.32,3.89,3.86,4.83,8.15,25.74,40.46
Other Assets,0.77,2.16,1.24,2.1,2.27,5.08,47.82
Total Assets,7.6,9.46,8.38,10.11,19.79,40.94,107.72
