,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.59,3.61,2.52,5.44,3.35,2.51,0.87,0.87,0.35,0.00,0.00,0.00,0.0
Expenses,2.59,3.55,2.46,5.38,3.36,2.58,1.04,1.04,0.46,0.06,0.08,0.06,0.05
Operating Profit,0.00,0.06,0.06,0.06,-0.01,-0.07,-0.17,-0.17,-0.11,-0.06,-0.08,-0.06,-0.05
OPM %,0.00,1.66,2.38,1.1,-0.3,-2.79,-19.54,-19.54,-31.43,,,,
Other Income,0.06,0.09,0.04,0.07,0.1,0.14,0.19,0.19,0.12,0.06,0.04,0.04,0.04
Interest,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.00,0.05,0.05,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.00,0.00,0.0
Profit before tax,0.06,0.10,0.05,0.07,0.05,0.04,0.00,0.00,0.00,-0.01,-0.04,-0.02,-0.01
Tax %,33.33,30.00,40.0,28.57,40.0,50.0,,,,0.00,0.00,0.00,
Net Profit,0.04,0.07,0.03,0.04,0.04,0.03,0.00,0.00,0.00,-0.01,-0.04,-0.02,-0.02
EPS in Rs,,,0.01,0.02,0.02,0.01,0.00,0.00,0.00,-0.00,-0.02,-0.01,0.0
