,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,8.51,8.51,21.69,21.69,23.41,25.55,25.55,25.55,25.55,25.55,25.55,25.55
Reserves,2.05,4.2,9.54,9.59,9.97,10.0,10.0,10.0,9.93,9.92,9.88,9.86
Borrowings,0.0,0.0,0.25,0.0,3.56,1.66,1.66,1.66,1.76,0.94,0.89,0.89
Other Liabilities,0.71,0.36,3.89,1.33,2.77,4.02,4.3,4.3,4.26,3.73,3.15,2.78
Total Liabilities,11.27,13.07,35.37,32.61,39.71,41.23,41.51,41.51,41.5,40.14,39.47,39.08
Fixed Assets,0.11,0.24,0.19,0.12,0.08,0.06,0.04,0.04,0.03,0.02,0.02,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,5.2,5.15,5.5,5.18,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08
Other Assets,5.96,7.68,29.68,27.31,29.55,31.09,31.39,31.39,31.39,30.04,29.37,28.98
Total Assets,11.27,13.07,35.37,32.61,39.71,41.23,41.51,41.51,41.5,40.14,39.47,39.08
