,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.92,72.92,72.92,72.92,72.92,72.92,72.92
Public,27.08,27.08,27.08,27.08,27.08,27.08,27.09
No. of Shareholders,71.0,60.0,44.0,62.0,59.0,58.0,59.0
