,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,212.0,141.0,105.0,146.0,226.0,153.0,141.0,140.0,105.0
Expenses,210.0,140.0,103.0,144.0,225.0,152.0,140.0,139.0,104.0
Operating Profit,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
OPM %,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Tax %,28.0,17.0,29.0,22.0,31.0,24.0,28.0,24.0,27.0
Net Profit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EPS in Rs,1.56,0.62,0.68,1.46,1.46,1.79,0.58,0.62,0.52
