,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-35,-150,116,-519,21,101,222,681,170,886
Cash from Investing Activity,86,72,68,377,84,60,255,11,-72,-593
Cash from Financing Activity,-184,233,-476,12,-94,-217,-233,-107,-98,-119
Net Cash Flow,-134,154,-292,-130,11,-56,245,585,0,175
