,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,18,35,70,70,70,70,70,70
Reserves,749,829,306,388,696,318,404,488,584,716,824
Borrowings,873,1106,653,688,766,615,259,154,150,145,145
Other Liabilities,3811,4082,3194,3505,3607,1826,1469,1536,1211,1758,1329
Total Liabilities,5441,6026,4162,4600,5104,2829,2201,2249,2015,2689,2369
Fixed Assets,68,73,62,66,69,83,96,89,142,141,135
CWIP,2,2,4,2,10,23,29,52,0,0,0
Investments,0,0,0,3,9,14,11,14,21,19,16
Other Assets,5371,5951,4096,4529,5015,2708,2065,2093,1853,2529,2218
Total Assets,5441,6026,4162,4600,5104,2829,2201,2249,2015,2689,2369
