,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,16,16,16,16,16,32,32,32
Reserves,199,227,228,244,269,279,297,297,286,420,388,381
Borrowings,382,448,462,499,555,702,725,680,584,520,621,604
Other Liabilities,96,120,146,189,101,211,222,255,229,263,243,226
Total Liabilities,694,810,852,947,941,1208,1259,1247,1114,1235,1284,1244
Fixed Assets,442,440,452,514,574,669,659,640,613,599,638,629
CWIP,7,2,50,20,3,1,1,4,17,30,6,9
Investments,23,24,5,4,21,1,1,0,0,2,7,4
Other Assets,222,344,344,409,345,537,598,603,484,604,633,601
Total Assets,694,810,852,947,941,1208,1259,1247,1114,1235,1284,1244
