,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,4,5,5,5,5,11,11
Reserves,5,9,10,10,36,42,47,71,87,103
Borrowings,19,24,25,52,49,59,73,92,146,192
Other Liabilities,1,1,1,1,1,3,1,6,8,14
Total Liabilities,26,35,37,66,92,109,126,175,252,320
Fixed Assets,1,1,1,4,4,4,5,8,9,33
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,0,0,2,0,10,21,25,45,68,75
Other Assets,25,34,34,62,78,84,96,122,175,212
Total Assets,26,35,37,66,92,109,126,175,252,320
