,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,84.0,183.0,164.0,549.0,807.0,722.0,796.0,786.0,1154.0,1309
Expenses,84.0,179.0,160.0,541.0,797.0,709.0,785.0,765.0,1117.0,1251
Operating Profit,1.0,5.0,5.0,8.0,10.0,13.0,11.0,20.0,37.0,58
OPM %,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,4
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,1.0,2
Interest,0.0,3.0,3.0,3.0,6.0,6.0,6.0,8.0,11.0,16
Depreciation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3
Profit before tax,1.0,1.0,1.0,4.0,4.0,8.0,6.0,22.0,25.0,41
Tax %,0.0,35.0,35.0,34.0,32.0,23.0,21.0,22.0,26.0,
Net Profit,1.0,1.0,1.0,3.0,3.0,6.0,5.0,17.0,19.0,30
EPS in Rs,3.79,4.7,4.7,3.33,2.85,5.44,4.5,15.84,17.32,28.26
