,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,284.5,217.72,312.72,303.73,267.43,269.92,375.7,395.97
Expenses,278.91,208.32,304.63,299.34,255.28,258.24,357.07,380.71
Operating Profit,5.59,9.4,8.09,4.39,12.15,11.68,18.63,15.26
OPM %,1.96,4.32,2.59,1.45,4.54,4.33,4.96,3.85
Other Income,1.48,-2.1,0.22,0.38,0.13,0.22,0.82,0.89
Interest,2.05,2.18,1.59,2.47,3.12,3.63,4.16,5.01
Depreciation,0.31,0.32,0.32,0.38,0.35,0.38,1.03,1.39
Profit before tax,4.71,4.8,6.4,1.92,8.81,7.89,14.26,9.75
Tax %,33.55,18.96,17.34,53.65,28.04,23.07,25.18,25.44
Net Profit,3.14,3.89,5.29,0.89,6.34,6.08,10.67,7.27
EPS in Rs,2.93,3.64,4.94,0.83,5.9,5.66,9.93,6.77
