,2022-03-01,2023-03-01
Equity Capital,10,14
Reserves,26,112
Borrowings,7,1
Other Liabilities,18,24
Total Liabilities,62,151
Fixed Assets,29,60
CWIP,5,1
Investments,0,5
Other Assets,28,86
Total Assets,62,151
