,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.81,11.3,6.15,5.69,5.31,6.68,14.58,4.41,4.46,4.26,6.0,5.88,7.34
Expenses,4.87,8.66,5.43,4.79,5.0,6.26,8.03,4.88,4.81,5.26,5.37,6.53,6.24
Operating Profit,0.94,2.64,0.72,0.9,0.31,0.42,6.55,-0.47,-0.35,-1.0,0.63,-0.65,1.10
OPM %,16.18,23.36,11.71,15.82,5.84,6.29,44.92,-10.66,-7.85,-23.47,10.5,-11.05,14.99
Other Income,0.29,0.28,0.02,0.12,0.12,0.07,0.17,0.27,0.18,0.14,0.29,1.08,1.69
Interest,0.47,0.2,0.13,0.13,0.06,0.09,0.18,0.14,0.09,0.1,0.23,0.16,0.19
Depreciation,0.21,0.19,0.19,0.5,0.25,0.19,0.15,0.2,0.41,0.19,0.28,0.4,0.43
Profit before tax,0.55,2.53,0.42,0.39,0.12,0.21,6.39,-0.54,-0.67,-1.15,0.41,-0.13,2.17
Tax %,30.91,50.99,45.24,-84.62,-33.33,0.0,33.02,20.37,-5.97,-1.74,29.27,7.69,
Net Profit,0.38,1.24,0.23,0.72,0.31,0.34,4.44,-1.56,-0.79,-1.55,0.16,0.39,2.19
EPS in Rs,1.21,3.95,0.73,2.3,0.99,1.08,14.16,-4.45,-2.01,-3.95,0.41,0.99,5.57
