,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,69.59,69.48,64.2,63.91,64.59,65.88,66.28,67.55,67.54
FIIs,0.0,0.0,0.16,0.0,0.0,0.0,0.69,0.58,0.59
DIIs,0.36,0.35,0.35,0.35,0.35,0.35,0.83,0.69,0.69
Public,30.06,30.17,35.29,35.73,35.05,33.76,32.2,31.18,31.18
No. of Shareholders,2225.0,3087.0,3474.0,3355.0,3360.0,5956.0,10440.0,9483.0,9480.0
