,2022-03-01,2023-03-01
Equity Capital,0.01,41.64
Reserves,-0.01,-33.06
Borrowings,0.0,0.0
Other Liabilities,0.01,1.08
Total Liabilities,0.01,9.66
Fixed Assets,0.0,9.6
CWIP,0.0,0.0
Investments,0.0,0.0
Other Assets,0.01,0.06
Total Assets,0.01,9.66
