,2022-03-01,2023-03-01
Equity Capital,1.2,8.4
Reserves,1.66,7.81
Preference Capital,0.26,0.26
Borrowings,0.02,0.34
Other Liabilities,0.28,10.03
Total Liabilities,3.16,26.58
Fixed Assets,0.08,0.07
CWIP,0.0,0.0
Investments,0.12,12.17
Other Assets,2.96,14.34
Total Assets,3.16,26.58
