,2022-03-01,2023-03-01
Sales,0.27,16.75
Expenses,0.36,16.3
Operating Profit,-0.09,0.45
OPM %,-33.33,2.69
Other Income,0.10,0.06
Interest,0.00,0.0
Depreciation,0.01,0.01
Profit before tax,0.00,0.5
Tax %,,24.0
Net Profit,0.00,0.39
EPS in Rs,0.00,0.46
