,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.44,17.18,15.56,18.05,22.75,23.24,26.81,25.48,22.25,8.82,17.81,20.2,24.04
Expenses,15.4,15.12,15.14,17.0,20.02,23.16,24.84,25.56,22.28,10.57,16.34,19.42,23.05
Operating Profit,1.04,2.06,0.42,1.05,2.73,0.08,1.97,-0.08,-0.03,-1.75,1.47,0.78,0.99
OPM %,6.33,11.99,2.7,5.82,12.0,0.34,7.35,-0.31,-0.13,-19.84,8.25,3.86,4.12
Other Income,2.88,1.17,0.97,1.06,1.4,1.73,1.35,1.48,2.09,2.11,1.61,4.04,4.54
Interest,0.28,0.21,0.14,0.08,0.0,0.02,0.03,0.03,0.2,0.02,0.02,0.09,0.10
Depreciation,0.75,0.53,0.41,0.41,0.37,0.49,0.46,0.4,0.86,0.53,0.34,0.69,0.58
Profit before tax,2.89,2.49,0.84,1.62,3.76,1.3,2.83,0.97,1.0,-0.19,2.72,4.04,4.85
Tax %,21.8,29.32,46.43,28.4,34.04,28.46,25.44,8.25,59.0,10.53,31.99,13.37,
Net Profit,2.26,1.76,0.45,1.16,2.48,0.93,2.11,0.89,0.41,-0.16,1.85,3.5,4.18
EPS in Rs,7.78,6.06,1.55,3.99,8.54,3.2,7.27,3.06,1.41,-0.55,6.37,12.05,14.40
