,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,84.1,69.8,62.8,55.7,55.48,55.45,55.44
FIIs,4.44,14.06,25.87,30.51,24.15,25.14,26.17
DIIs,4.41,4.36,5.74,6.94,12.46,15.09,14.27
Public,7.05,11.78,5.59,6.85,7.91,4.34,4.11
No. of Shareholders,388613.0,325560.0,321095.0,401475.0,408081.0,374674.0,349407.0
