,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.67,24.97,24.1,24.11,30.91,29.02,37.87,36.93,33.34,34.84,27.88,26.89
Expenses,24.63,22.0,22.55,22.48,28.9,26.9,36.1,34.95,31.46,32.52,25.92,24.6
Operating Profit,3.04,2.97,1.55,1.63,2.01,2.12,1.77,1.98,1.88,2.32,1.96,2.29
OPM %,10.99,11.89,6.43,6.76,6.5,7.31,4.67,5.36,5.64,6.66,7.03,8.52
Other Income,-0.01,0.28,0.16,0.02,0.02,0.17,0.02,0.02,0.06,0.01,0.04,0.14
Interest,0.76,0.71,0.7,0.7,0.75,0.73,0.79,0.83,0.92,0.87,0.87,0.91
Depreciation,0.66,0.67,0.68,0.68,0.68,0.68,0.69,0.72,0.72,0.68,0.69,0.7
Profit before tax,1.61,1.87,0.33,0.27,0.6,0.88,0.31,0.45,0.3,0.78,0.44,0.82
Tax %,0.62,-0.0,-0.0,-0.0,-0.0,88.64,-0.0,-0.0,-0.0,64.1,-0.0,-0.0
Net Profit,1.6,1.87,0.33,0.27,0.6,0.1,0.31,0.45,0.3,0.28,0.44,0.82
EPS in Rs,0.65,0.75,0.13,0.11,0.24,0.04,0.12,0.18,0.12,0.11,0.18,0.33
