,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.81,4.43,11.33,12.44,7.88,8.52,9.83,10.41,16.15,11.32,14.7,21.26,27.48
Expenses,1.24,1.83,2.87,2.61,4.25,2.96,1.39,1.62,2.42,2.42,3.96,5.5,6.93
Operating Profit,1.57,2.60,8.46,9.83,3.63,5.56,8.44,8.79,13.73,8.9,10.74,15.76,20.55
OPM %,55.87,58.69,74.67,79.02,46.07,65.26,85.86,84.44,85.02,78.62,73.06,74.13,74.78
Other Income,0.01,0.08,0.34,1.38,2.55,0.11,0.0,0.2,0.17,0.09,0.12,0.14,0.27
Interest,0.32,1.41,7.32,9.1,4.31,1.25,1.97,0.86,0.2,0.57,1.78,4.36,7.20
Depreciation,0.01,0.10,0.4,0.72,0.52,0.31,0.21,0.17,0.14,0.24,0.4,0.53,0.63
Profit before tax,1.25,1.17,1.08,1.39,1.35,4.11,6.26,7.96,13.56,8.18,8.68,11.01,12.99
Tax %,21.60,19.66,18.52,33.09,19.26,34.06,26.84,24.5,20.65,30.32,29.95,28.07,
Net Profit,0.99,0.93,0.87,0.93,1.1,2.7,4.58,6.01,10.76,5.71,6.08,7.91,9.40
EPS in Rs,,,1.45,1.55,0.69,1.69,2.37,3.11,5.57,2.96,3.15,4.1,4.86
