,2023-01-01,2023-03-01,2023-09-01
Equity Capital,1.96,1.96,2.15
Reserves,0.09,0.22,1.17
Borrowings,0.34,0.33,0.71
Other Liabilities,0.44,0.4,0.86
Total Liabilities,2.83,2.91,4.89
Fixed Assets,0.54,0.51,0.45
CWIP,0.0,0.0,0.0
Investments,0.0,0.6000000000000001,0.71
Other Assets,2.29,1.8,3.73
Total Assets,2.83,2.91,4.89
