,2023-03-01,2023-09-01
Sales,2.8,2.71
Expenses,2.09,2.16
Operating Profit,0.71,0.55
OPM %,25.36,20.3
Other Income,0.04,-0.89
Interest,0.04,0.01
Depreciation,0.06,0.07
Profit before tax,0.65,-0.42
Tax %,10.77,-30.95
Net Profit,0.58,-0.56
EPS in Rs,2.96,-2.61
