,Jan 2023,Mar 2023,TTM
Sales,1.61,2.8,5.51
Expenses,1.25,2.12,4.25
Operating Profit,0.36,0.68,1.26
OPM %,22.36,24.29,22.87
Other Income,0.04,0.07,-0.85
Interest,0.02,0.05,0.05
Depreciation,0.03,0.06,0.13
Profit before tax,0.35,0.64,0.23
Tax %,25.71,40.62,
Net Profit,0.26,0.39,0.02
EPS in Rs,1.33,1.99,0.35
