,2022-03-01,2023-03-01
Sales,32.61,36.32
Expenses,28.04,30.94
Operating Profit,4.57,5.38
OPM %,14.01,14.81
Other Income,0.43,0.1
Interest,1.02,1.15
Depreciation,0.19,0.21
Profit before tax,3.79,4.12
Tax %,26.12,24.51
Net Profit,2.8,3.11
EPS in Rs,121.74,5.21
